,id,songName,albumName,albumID,explicit,releaseDate,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumental,liveness,valence,tempo,duration_ms,time_signature
140,4P5ozkI1bxiGxA5rZ27jlO,Bubble,TEENFRESH,4P5wnRQTBnnjNbjt7A6S6x,False,2023-08-16,0.768,0.765,9,-3.487,1,0.0602,0.0299,0.0,0.0695,0.717,131.985,179276,4
141,6uTPA1xlcsk6dbchB2dhzl,Back for More (with Anitta),Back for More (with Anitta),5zhfCotijpaEJfQNVAC8mV,False,2023-09-15,0.785,0.897,4,-3.447,0,0.158,0.0452,0.0,0.222,0.891,115.916,131038,4
142,56v8WEnGzLByGsDAXDiv4d,ETA,NewJeans 2nd EP 'Get Up',4N1fROq2oeyLGAlQ1C1j18,False,2023-07-21,0.812,0.749,10,-6.389,0,0.0397,0.108,0.0,0.0599,0.841,134.971,151373,4
143,4QhnNyKDsAkXPwHkSnuc89,"Eve, Psyche & The Bluebeard’s wife",UNFORGIVEN,4Oz7K9DRwwGMN49i4NbVDT,False,2023-05-01,0.663,0.872,11,-5.056,1,0.2,0.0153,0.0,0.0519,0.626,142.951,185539,4
144,7kaFsQygyiCqRboWCXztxZ,Do It Like That,Do It Like That,0Z1ebaoFTQDDzebTh3fD2P,False,2023-07-07,0.772,0.921,5,-3.221,0,0.0531,0.0103,0.0,0.334,0.842,119.992,145066,4
145,2N0SPREDYqILVEFSsWF5N5,Love Me Again,Layover,1ZBDI1LqnuAKdrePUF2D5m,False,2023-08-11,0.633,0.607,0,-6.182,0,0.0532,0.183,1.38e-06,0.167,0.363,74.029,182293,4
146,42h7yc9Rda1IOMYLACVgld,Cream Soda,EXIST – The 7th Album,4qMcBYh4ZlwDeb7vfgZO61,False,2023-07-10,0.623,0.838,4,-2.454,0,0.15,0.0849,0.0,0.186,0.684,155.617,185320,4
147,3F4lHPNHlvr3RpO4tpVOIs,In Bloom,YOUTH IN THE SHADE,7fV7RChHagCcKRnAaDRXuX,False,2023-07-10,0.551,0.886,6,-3.843,1,0.0699,0.111,0.0,0.112,0.383,82.034,180988,4
148,5OqMZ8In8CkCa0SbknnDPl,GRL GVNG,GRL GVNG,0s6tMsTvOqtqmFxJogsIJS,False,2023-06-30,0.765,0.65,6,-6.043,1,0.0372,0.0669,0.0,0.204,0.409,131.022,188093,4
149,5KyOUICJIvO0z71MBdPGiX,BOUNCY (K-HOT CHILLI PEPPERS),THE WORLD EP.2 : OUTLAW,5DxixnuklLg28S7UMeGC9H,False,2023-06-16,0.532,0.896,8,-4.356,1,0.184,0.00869,0.0,0.106,0.479,150.06,187311,4
150,5IAESfJjmOYu7cHyX557kz,Take Two,Take Two,3jeQDa9OFZ6GndLindHx3k,False,2023-06-09,0.617,0.589,7,-5.978,1,0.0345,0.0268,0.0,0.378,0.566,92.991,229953,4
151,4lIAPwAU6R8PAy2WhykC4i,#menow,Unlock My World,48DcB4A9LV3DugLTILN1D9,False,2023-06-05,0.703,0.909,6,-2.686,0,0.102,0.192,0.0,0.0717,0.83,117.989,169907,4
152,6KiEF5zqzHiFjzdm8gChz7,KNOCK,Over The Moon,0WGMSrfOSPh1vctL94IWD3,False,2023-04-12,0.81,0.734,9,-1.784,1,0.035,0.000545,6.25e-06,0.055,0.935,138.945,173080,4
153,0jd4aa9XgV5eom0ez0WBrD,Perfume,Perfume - The 1st Mini Album,3sVBVr420an61GAwib9AYk,False,2023-04-17,0.718,0.735,8,-1.728,1,0.0377,0.173,0.0,0.142,0.699,105.977,167627,4
154,4EaQ0ouIydfeAgQUz284EF,People Pt.2 (feat. IU),People Pt.2 (feat. IU),1l12B55qdesQorPcQLJDRo,False,2023-04-07,0.729,0.574,7,-4.779,0,0.0589,0.391,0.0,0.319,0.438,88.94,213995,4
